type,name,logo,start,finish
Education,Portland State University,psulogo_horiz.tif,September 2007,December 2011
Focus,Logistics,,September 2009,October 2015
Focus,Supply Chain,,September 2009,October 2015
Work,C.H. Robinson,CHR_Logo.png,August 2011,June 2013
Skills,Customer Management,,August 2011,October 2015
Work,Firdy’s Logistics Solutions,FLS_Logo.PNG,June 2013,August 2013
Work,VTech Communications,Vtech_logo.png,September 2013,October 2015
Focus,Business Intelligence,,January 2014,Today
Focus,Data Visualization,,January 2014,Today
Skills,MSTR / Tableau,,January 2014,Today
Work,Amazon,Amazon_Logo.png,October 2015,July 2018
Skills,User Experience Design,,October 2015,Today
Skills,SQL,,October 2015,Today
Skills,python,,January 2018,Today
Skills,d3js,,July 2018,Today
Work,Nike,Nike_Logo.png,July 2018,Today
